date,hits,keyword
1/1/2022,5, kharid_dollar
1/2/2022,6, kharid_dollar
1/3/2022,5, kharid_dollar
1/4/2022,8, kharid_dollar
1/5/2022,3, kharid_dollar
1/6/2022,4, kharid_dollar
1/7/2022,4, kharid_dollar
1/8/2022,6, kharid_dollar
1/9/2022,6, kharid_dollar
1/10/2022,6, kharid_dollar
1/11/2022,7, kharid_dollar
1/12/2022,4, kharid_dollar
1/13/2022,8, kharid_dollar
1/14/2022,3, kharid_dollar
1/15/2022,6, kharid_dollar
1/16/2022,10, kharid_dollar
1/17/2022,5, kharid_dollar
1/18/2022,5, kharid_dollar
1/19/2022,4, kharid_dollar
1/20/2022,4, kharid_dollar
1/21/2022,3, kharid_dollar
1/22/2022,5, kharid_dollar
1/23/2022,4, kharid_dollar
1/24/2022,8, kharid_dollar
1/25/2022,4, kharid_dollar
1/26/2022,3, kharid_dollar
1/27/2022,3, kharid_dollar
1/28/2022,3, kharid_dollar
1/29/2022,5, kharid_dollar
1/30/2022,4, kharid_dollar
1/31/2022,5, kharid_dollar
2/1/2022,5, kharid_dollar
2/2/2022,4, kharid_dollar
2/3/2022,4, kharid_dollar
2/4/2022,4, kharid_dollar
2/5/2022,9, kharid_dollar
2/6/2022,7, kharid_dollar
2/7/2022,6, kharid_dollar
2/8/2022,7, kharid_dollar
2/9/2022,6, kharid_dollar
2/10/2022,3, kharid_dollar
2/11/2022,4, kharid_dollar
2/12/2022,6, kharid_dollar
2/13/2022,4, kharid_dollar
2/14/2022,3, kharid_dollar
2/15/2022,4, kharid_dollar
2/16/2022,5, kharid_dollar
2/17/2022,5, kharid_dollar
2/18/2022,4, kharid_dollar
2/19/2022,5, kharid_dollar
2/20/2022,6, kharid_dollar
2/21/2022,6, kharid_dollar
2/22/2022,4, kharid_dollar
2/23/2022,5, kharid_dollar
2/24/2022,3, kharid_dollar
2/25/2022,5, kharid_dollar
2/26/2022,5, kharid_dollar
2/27/2022,6, kharid_dollar
2/28/2022,4, kharid_dollar
3/1/2022,3, kharid_dollar
3/2/2022,5, kharid_dollar
3/3/2022,5, kharid_dollar
3/4/2022,4, kharid_dollar
3/5/2022,7, kharid_dollar
3/6/2022,5, kharid_dollar
3/7/2022,6, kharid_dollar
3/8/2022,5, kharid_dollar
3/9/2022,6, kharid_dollar
3/10/2022,3, kharid_dollar
3/11/2022,4, kharid_dollar
3/12/2022,6, kharid_dollar
3/13/2022,5, kharid_dollar
3/14/2022,5, kharid_dollar
3/15/2022,4, kharid_dollar
3/16/2022,5, kharid_dollar
3/17/2022,3, kharid_dollar
3/18/2022,2, kharid_dollar
3/19/2022,3, kharid_dollar
3/20/2022,3, kharid_dollar
3/21/2022,2, kharid_dollar
3/22/2022,3, kharid_dollar
3/23/2022,3, kharid_dollar
3/24/2022,2, kharid_dollar
3/25/2022,3, kharid_dollar
3/26/2022,5, kharid_dollar
3/27/2022,4, kharid_dollar
3/28/2022,3, kharid_dollar
3/29/2022,3, kharid_dollar
3/30/2022,3, kharid_dollar
3/31/2022,4, kharid_dollar
4/1/2022,2, kharid_dollar
4/2/2022,3, kharid_dollar
4/3/2022,5, kharid_dollar
4/4/2022,4, kharid_dollar
4/5/2022,3, kharid_dollar
4/6/2022,4, kharid_dollar
4/7/2022,3, kharid_dollar
4/8/2022,4, kharid_dollar
4/9/2022,5, kharid_dollar
4/10/2022,4, kharid_dollar
4/11/2022,5, kharid_dollar
4/12/2022,4, kharid_dollar
4/13/2022,5, kharid_dollar
4/14/2022,4, kharid_dollar
4/15/2022,3, kharid_dollar
4/16/2022,5, kharid_dollar
4/17/2022,4, kharid_dollar
4/18/2022,4, kharid_dollar
4/19/2022,4, kharid_dollar
4/20/2022,4, kharid_dollar
4/21/2022,4, kharid_dollar
4/22/2022,3, kharid_dollar
4/23/2022,3, kharid_dollar
4/24/2022,6, kharid_dollar
4/25/2022,5, kharid_dollar
4/26/2022,4, kharid_dollar
4/27/2022,5, kharid_dollar
4/28/2022,3, kharid_dollar
4/29/2022,3, kharid_dollar
4/30/2022,4, kharid_dollar
5/1/2022,5, kharid_dollar
1/1/2022,4, foroosh_dollar
1/2/2022,4, foroosh_dollar
1/3/2022,2, foroosh_dollar
1/4/2022,7, foroosh_dollar
1/5/2022,1, foroosh_dollar
1/6/2022,2, foroosh_dollar
1/7/2022,2, foroosh_dollar
1/8/2022,3, foroosh_dollar
1/9/2022,3, foroosh_dollar
1/10/2022,3, foroosh_dollar
1/11/2022,4, foroosh_dollar
1/12/2022,4, foroosh_dollar
1/13/2022,4, foroosh_dollar
1/14/2022,2, foroosh_dollar
1/15/2022,5, foroosh_dollar
1/16/2022,4, foroosh_dollar
1/17/2022,3, foroosh_dollar
1/18/2022,2, foroosh_dollar
1/19/2022,2, foroosh_dollar
1/20/2022,2, foroosh_dollar
1/21/2022,1, foroosh_dollar
1/22/2022,4, foroosh_dollar
1/23/2022,2, foroosh_dollar
1/24/2022,5, foroosh_dollar
1/25/2022,3, foroosh_dollar
1/26/2022,2, foroosh_dollar
1/27/2022,0, foroosh_dollar
1/28/2022,2, foroosh_dollar
1/29/2022,2, foroosh_dollar
1/30/2022,4, foroosh_dollar
1/31/2022,2, foroosh_dollar
2/1/2022,3, foroosh_dollar
2/2/2022,2, foroosh_dollar
2/3/2022,3, foroosh_dollar
